year,geoid,b25095_001,b25074_001,b19013_001,name
2015,17197883519,1742.9960881851,166.99962520190002,98281,"Tract 8835.19, Will County, IL"
2015,17197883521,1077.4090404736,170.3256938984,96176,"Tract 8835.21, Will County, IL"
2015,17197883522,1159.5909595264,14.6743061016,104352.40808174165,"Tract 8835.22, Will County, IL"
2015,17197883602,1969,201,73023,"Tract 8836.02, Will County, IL"
2015,17197883603,766,439,42417,"Tract 8836.03, Will County, IL"
2015,17197883605,448,710,34118,"Tract 8836.05, Will County, IL"
2015,17197883606,1019,250,57384,"Tract 8836.06, Will County, IL"
2015,17197883700,709.4122473989,469.96908674869997,41394.632365357305,"Tract 8837, Will County, IL"
2015,17197883803,282.9024761196,1067.6661941226,41992,"Tract 8838.03, Will County, IL"
2015,17197883804,729.6300909524,252.2849553094,52932.498548189506,"Tract 8838.04, Will County, IL"
2015,17197883806,1203,87,64000,"Tract 8838.06, Will County, IL"
2015,17197883808,575.6228172198,125.57625145310001,70234,"Tract 8838.08, Will County, IL"
2015,17197883809,1383.3771827802,158.42374854690001,48526.21755748183,"Tract 8838.09, Will County, IL"
2015,17197883810,1141.0551855290998,206.0797638193,76242.86525609836,"Tract 8838.10, Will County, IL"
2015,17197883811,1038,210,60523,"Tract 8838.11, Will County, IL"
2015,17197883902,1916,386,71059,"Tract 8839.02, Will County, IL"
2015,17197883903,508,151,73417,"Tract 8839.03, Will County, IL"
2015,17197883904,1330,269,78557,"Tract 8839.04, Will County, IL"
2015,17197884003,1214,451,60022,"Tract 8840.03, Will County, IL"
2015,17197884004,928,140,53696,"Tract 8840.04, Will County, IL"
2015,17197884005,441,91,64531,"Tract 8840.05, Will County, IL"
2015,17197884006,754.9981868675001,54.999867917500005,71111,"Tract 8840.06, Will County, IL"
2015,17197884101,1143,148,51049,"Tract 8841.01, Will County, IL"
2015,17197884103,711.877080992,115.1490206155,73756.67589366893,"Tract 8841.03, Will County, IL"
2015,17197980000,0,0,0,"Tract 9800, Will County, IL"
2015,17197980100,22,18,0,"Tract 9801, Will County, IL"
